title,avg_rating,voted_by,genre
Nepal Female Guide - Day Tours,5.0,69,Sightseeing Tours
Exploring Nepal Treks and Adventures - Day Tours,5.0,76,Walking Tours
Life Himalaya Trekking,5.0,69,Historical & Heritage Tours • Sightseeing Tours
Save Himalaya Treks & Expedition,5.0,115,Multi-day Tours • Cultural Tours
Himalayan Hero Adventures,5.0,62,Parasailing & Paragliding • City Tours
Oriental Journeys,5.0,44,City Tours • Multi-day Tours
Himalayan Recreation - Day Tours,5.0,248,City Tours • Helicopter Tours
Mount Glory Treks & Expedition,5.0,49,Multi-day Tours • Cultural Tours
Everest Trekking Routes Pvt Ltd,5.0,48,Multi-day Tours • Sightseeing Tours
ABC and EBC Nepal Trekking Adventures,5.0,108,City Tours • Hiking & Camping Tours
Goodday Nepal Excursion,5.0,53,Multi-day Tours • Sightseeing Tours
First Environmental Trekking,5.0,99,Hiking & Camping Tours • Day Trips
Nature Explore,5.0,83,Helicopter Tours • Hiking & Camping Tours
Himalayan NamoBuddha Travel & Treks Pvt Ltd,5.0,53,City Tours • Day Trips
Himalayan Trekking & Tours,5.0,153,Cultural Tours • Hiking & Camping Tours
Mountain Amantes Adventure,5.0,45,Multi-day Tours • Hiking & Camping Tours
AimWay Tours & Travels,5.0,61,City Tours • Bike Tours
Memory Nepal Travel & Treks,5.0,41,Multi-day Tours • Eco Tours
Sevenstar Adventure Holidays - Day Tours,5.0,61,River Rafting & Tubing • Hiking & Camping Tours
HoneyGuide | To the Mountains,5.0,36,Helicopter Tours • Taxis & Shuttles
Unique Nepal Adventure Treks & Expedition,5.0,55,Multi-day Tours • Hiking & Camping Tours
Corporate Adventure Treks,5.0,72,Helicopter Tours • Historical & Heritage Tours
Silver Spring Treks & Expedition,5.0,48,City Tours • Cultural Tours
Cosmic Trekking & Expedition Pvt Ltd,5.0,71,River Rafting & Tubing • Sightseeing Tours
Create Himalaya Adventure,5.0,47,River Rafting & Tubing • Walking Tours
Wild Nabin,5.0,39,Nature & Wildlife Tours
The Chitwan Jungle Guides,5.0,61,Multi-day Tours • Walking Tours
Himalayan Mentor,5.0,85,Cultural Tours • Hiking & Camping Tours
Nepal Trek Hub,5.0,40,Cultural Tours • Historical & Heritage Tours
Dragonfly Paragliding Nepal,5.0,43,Parasailing & Paragliding
Shakti Travels and Tours,5.0,50,City Tours • Cultural Tours
Nepal Trekking Routes,5.0,46,Multi-day Tours • Cultural Tours
Asahi Treks & Expedition - Mountain Flight and Helicopter Day Tours,5.0,98,Helicopter Tours
Mount Trails,5.0,68,City Tours • Cultural Tours
Nepal Mountain Hub Treks & Expedition,5.0,40,City Tours • Multi-day Tours
Nepal River Runner,5.0,48,River Rafting & Tubing • Climbing Tours
Responsible Adventures,5.0,76,Cultural Tours • Eco Tours
Golden Himalayan Zone Treks,5.0,45,Multi-day Tours • Climbing Tours
Nepal Climbing Adventure,5.0,42,Historical & Heritage Tours • Walking Tours
Attractive Travels and Tours,5.0,39,City Tours • Multi-day Tours
Mardi Himal Treks & Expedition,5.0,152,"4WD, ATV & Off-Road Tours • Climbing Tours"
Summit Treks and Adventure,5.0,59,Hiking & Camping Tours
Hike Himalaya Adventure - Private Day Tours,5.0,56,Hiking & Camping Tours
Trekking Mart,5.0,76,City Tours • Cultural Tours
The Trek Nepal,5.0,38,Multi-day Tours • Safaris
Northern Trekking Team,5.0,39,City Tours • Historical & Heritage Tours
Apex Asia Travel & Trekking,5.0,89,Air Tours
Antique Nepal Treks - Day Tours,5.0,96,Hiking & Camping Tours
Across Himalaya Tours & Treks Ltd,5.0,59,Hiking & Camping Tours
Nepal Sanctuary Treks - Day Trip,5.0,80,Hiking & Camping Tours • Nature & Wildlife Tours
Mountain Eco Treks & Expedition,5.0,68,Multi-day Tours • Sightseeing Tours
Apex the Asia Holidays,5.0,51,Multi-day Tours • Adrenaline & Extreme Tours
Adventure Pilgrims Trekking,5.0,110,River Rafting & Tubing • Helicopter Tours
Heritage Spa,5.0,64,Spas
Sam's Bar,4.5,141,Bars & Clubs
Himalayan Nepal Trek  - Private Day Tour,5.0,64,Nature & Wildlife Tours
Manikang Nepal Treks and Adventure,5.0,45,Multi-day Tours • Cultural Tours
Linkage Tours & Travels,5.0,40,Multi-day Tours • Canyoning & Rappelling Tours
Rediscover Nepal Treks & Tours Pvt Ltd,5.0,38,Multi-day Tours • Private Tours
Eagle Eye Treks and Expedition,5.0,66,City Tours • River Rafting & Tubing
Admiral Adventure Treks,5.0,51,Hiking & Camping Tours • Private Tours
Coldfeet Adventure - Kathmandu Valley Private Day Tour,5.0,79,Private Tours
"Kanchan Yoga, Patan Lalitpur",5.0,38,Yoga & Pilates • Lessons & Workshops
Treks Planner Nepal,5.0,45,City Tours • Helicopter Tours
Welcome Nepal Treks - Day Tours,5.0,218,Multi-day Tours • Cultural Tours
Global Holidays Adventure,5.0,55,Private Tours
Bhaktapur Tour Guide,5.0,38,City Tours • Cultural Tours
Aim Nepal Adventure,5.0,37,Multi-day Tours • Hiking & Camping Tours
Nepal Excursion Treks Pvt Ltd,5.0,54,City Tours • Walking Tours
Wongchhu Peak Promotion,5.0,38,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Rugged Trails Nepal,5.0,50,Historical & Heritage Tours • Walking Tours
Himalayan Adventure Nepal,5.0,35,Multi-day Tours • Cultural Tours
Iconic Nepal Tours & Treks,5.0,46,Helicopter Tours
Shiva Excursion pvtltd,5.0,64,City Tours • Multi-day Tours
Junket Nepal PvtLtd,5.0,44,City Tours
Awesome Nepal Treks Pvt Ltd,5.0,42,Multi-day Tours • Hiking & Camping Tours
Plan Himalaya,5.0,88,Nature & Wildlife Tours
Umesh Adventures Nepal,5.0,76,Multi-day Tours • Cultural Tours
Adventure Altitude Treks & Expedition Pvt Ltd,5.0,35,Safaris • Climbing Tours
Caravana Himalaya Adventure,5.0,33,City Tours • Multi-day Tours
Sky Bird Paragliding,5.0,143,Parasailing & Paragliding
Himalaya Chyangpa Nepal Treks and Expedition Pvt Ltd,5.0,37,Climbing Tours • Hiking & Camping Tours
Manakamana Cable Car,4.5,122,Taxis & Shuttles
Welcome To My Yard,5.0,77,Cultural Tours • Historical & Heritage Tours
Himalayan Cashmere Manufacturing Company,5.0,45,Speciality & Gift Shops
Budget Trekking,5.0,53,Sightseeing Tours • Hiking & Camping Tours
Beauty Nepal Adventure,5.0,135,Bike Tours • Climbing Tours
Lake Valley Paragliding,5.0,72,Parasailing & Paragliding
Himalayan Wander Walkers,5.0,53,City Tours • Cultural Tours
Mountain Kick,5.0,43,Cultural Tours • Bike Tours
"Charak Yoga, Thamel Kathmandu",5.0,67,Yoga & Pilates
Museum of Nepali Art,5.0,48,Art Museums
Team Ram Adventure Pvt Ltd,5.0,58,Multi-day Tours • Climbing Tours
Babu Adventure,5.0,48,Parasailing & Paragliding • Multi-day Tours
Nepal Vehicle Hiring,5.0,59,Taxis & Shuttles
Mountain Experience,5.0,35,Multi-day Tours • Climbing Tours
Highland Expeditions,5.0,40,Helicopter Tours • Walking Tours
Utmost Adventure Trekking,5.0,59,Cultural Tours • Hiking & Camping Tours
Mission Summit Treks And Expedition,5.0,33,Multi-day Tours • Private Tours
Pristine Nepal,5.0,40,Multi-day Tours • Cultural Tours
Unlimited Trekking Nepal - Day Tours,5.0,70,"4WD, ATV & Off-Road Tours • Hiking & Camping Tours"
Adventure Team,5.0,52,Parasailing & Paragliding • City Tours
Nepal Boundary Trekking Pvt Ltd,5.0,38,Climbing Tours • Eco Tours
Himalayan Magic Adventures,5.0,45,Private Tours
Nepal Trip Planner P Ltd,4.5,47,City Tours • Cultural Tours
KJ Adventure Nepal Private Limited,5.0,32,City Tours • Cultural Tours
Merit Adventure,5.0,34,Multi-day Tours • Cultural Tours
World Expeditions,4.5,74,Multi-day Tours • Hiking & Camping Tours
Authentic Adventures,5.0,45,Cultural Tours • Historical & Heritage Tours
View Nepal Treks & Expedition,5.0,81,Hiking & Camping Tours • Nature & Wildlife Tours
Jomsom Treks and Expedition - Private Day Tour,4.5,76,Hiking & Camping Tours • Private Tours
Eco Holidays Nepal,5.0,195,City Tours • Cultural Tours
Caravan Outdoors,5.0,43,City Tours • Sightseeing Tours
Bohemian Tours,5.0,82,Sightseeing Tours
Master Himalaya,5.0,38,City Tours • Multi-day Tours
Nepalgram,5.0,67,Multi-day Tours • Helicopter Tours
Mountain King Treks And Expedition,5.0,36,City Tours • Multi-day Tours
Yak & Yeti Trekking Shop,4.5,59,Speciality & Gift Shops
Nepal Tour & Trekking Service - Day Tours,5.0,75,City Tours • Cultural Tours
Adventure Feel Nepal Treks and Expeditions Pvt Ltd,5.0,36,Multi-day Tours • Climbing Tours
Gorkha International Travels - Kathmandu Day Tours,5.0,151,Cultural Tours • Historical & Heritage Tours
Loyalty Spa,5.0,39,Spas
Absolute HJ Sherpa Trekking Pvt Ltd,5.0,33,Hiking & Camping Tours • Bus Tours
Himalayan Threads Handicrafts Shop,5.0,35,Speciality & Gift Shops
Aroma Nepal Treks & Expedition,5.0,61,City Tours • Climbing Tours
Dream Tibet Travel & Tours,5.0,51,Cultural Tours • Sightseeing Tours
Easy Treks & Expedition P Ltd,5.0,37,Multi-day Tours • Historical & Heritage Tours
Travhill,5.0,37,City Tours • Multi-day Tours
Ayurveda Health Home,5.0,52,Yoga & Pilates • Spas
Above the Himalaya Trekking - Private Day Tours,5.0,249,City Tours • Multi-day Tours
Nepal Lion Tours & Treks Pvt Ltd,5.0,112,Hiking & Camping Tours • Nature & Wildlife Tours
Extollo Adventures,5.0,36,Multi-day Tours • Historical & Heritage Tours
Ask The Nepal Adventure,5.0,57,Multi-day Tours • Cultural Tours
Walking The Himalaya Treks & Tours,5.0,35,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Women's Skills Development Organization,5.0,49,Speciality & Gift Shops
Himalayan Advisor,5.0,33,Multi-day Tours • Hiking & Camping Tours
Monterosa Treks and Expedition- kailash Tour package,5.0,209,Helicopter Tours
Silver Mountain Adventure Pvt Ltd - Private Day Tours,5.0,56,Private Tours
Trek Mania Nepal,5.0,31,Multi-day Tours • Helicopter Tours
Exciting Himalaya,5.0,32,Helicopter Tours • Climbing Tours
Graceful Adventure Travel pvt ltd,5.0,36,Taxis & Shuttles • Private Tours
Himalayan Trekking Path,5.0,32,Multi-day Tours • Cultural Tours
"Himalayan Leisure, Inc",5.0,215,Helicopter Tours • Sightseeing Tours
Explore Nepal Adventure Holidays,5.0,30,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
The Asia Adventure Nepal - Day Tours,5.0,58,Sightseeing Tours
Allied Adventure Travels and Tours,5.0,33,City Tours • Cultural Tours
All Nepal Hiking,5.0,49,Multi-day Tours • Eco Tours
Asiana Trek & Tours,5.0,31,City Tours • Cultural Tours
Musical Adventure Trekking - Day Tours,5.0,42,Hiking & Camping Tours
Mountain Hawk Trek - Private Day Tours,5.0,54,Hiking & Camping Tours • Private Tours
Friendship World Trek - Day Tours,5.0,56,Walking Tours • Climbing Tours
Himalayan Yogini,5.0,57,Yoga & Pilates
Karmayogi Wellness,5.0,46,Yoga & Pilates • Spas
Amore Treks,5.0,38,Multi-day Tours • Hiking & Camping Tours
Tranquility Spa - Thamel,4.5,78,Yoga & Pilates • Spas
Trip Pokhara Pvt Ltd,5.0,24,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Adventure Exodus Pvt Ltd,5.0,36,City Tours • Multi-day Tours
Ace Vision Nepal,5.0,50,Hiking & Camping Tours
Friendly Nepal Treks,5.0,30,Sightseeing Tours • Hiking & Camping Tours
Black Diamond Expedition - Private Day Tours,5.0,230,"4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours"
Austravel & Tours Nepal P Ltd - Private Day Tours,5.0,79,Cultural Tours • Sightseeing Tours
Info Nepal Tours & Treks,5.0,40,Multi-day Tours • Hiking & Camping Tours
Summitclimb and Summittrek,5.0,41,Climbing Tours • Hiking & Camping Tours
Tara Himalayan Vision,5.0,32,Multi-day Tours • Hiking & Camping Tours
Accent Himalaya,5.0,32,Multi-day Tours • Sightseeing Tours
Vespa Valley,5.0,41,"Vespa, Scooter & Moped Tours"
Aerolight Paragliding,5.0,42,Parasailing & Paragliding
Local Women's Handicrafts,5.0,50,Speciality & Gift Shops
The Chitwan Tiger Guide Service And Mini Library,5.0,37,Multi-day Tours • Walking Tours
Nepal Kameleon Holidays Pvt Ltd,5.0,35,Walking Tours
Ever Wild Trek & Tours,5.0,39,Cultural Tours • Walking Tours
Bold Adventures Pvt Ltd - Day Tours,5.0,38,Cultural Tours • Historical & Heritage Tours
Nepal Travel Advisor,5.0,27,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Adventure Gandaki Treks and Expedition,5.0,40,Parasailing & Paragliding • Multi-day Tours
Sarmila's Cooking Course Training,5.0,31,Cooking Classes
Upper Himalayan Treks and Adventure Pvt Ltd,5.0,34,Climbing Tours • Hiking & Camping Tours
Eagle Treks and Expedition P Ltd & Heli Tour Private Day Tour,5.0,79,City Tours • Helicopter Tours
Hi Himalaya Nepal - Treks & Tours,5.0,30,Multi-day Tours • Walking Tours
Asian Hiking Team's Kathmandu Day Hiking,5.0,63,Climbing Tours • Hiking & Camping Tours
Annapurna Mountain Bike & Adventure,5.0,39,Bike Tours • Eco Tours
Tour Guide in Nepal,5.0,29,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Kathmandu Adventures Travel and Tours,5.0,33,Multi-day Tours • Taxis & Shuttles
Bisham Koirala,5.0,29,City Tours • Motorcycle Tours
Summit International Travels & Tours,5.0,30,City Tours • Helicopter Tours
Jugal Holidays,5.0,29,Multi-day Tours • Helicopter Tours
Creative Adventure Nepal,5.0,32,City Tours • Multi-day Tours
Nepal Trekkers,5.0,56,City Tours • Helicopter Tours
Himalaya Journey Treks & Expedition,5.0,67,Hiking & Camping Tours • Private Tours
Footprint Adventure,5.0,36,City Tours • Helicopter Tours
Bluesheep Journeys,5.0,39,Cultural Tours • Sightseeing Tours
Tour Guide in Nepal - Lumbini,5.0,25,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Advanced Adventures,5.0,113,Cultural Tours • Climbing Tours
Breeze Adventure Pvt Ltd,5.0,28,Climbing Tours • Hiking & Camping Tours
Amazing Nepal Trek & Expedition,5.0,82,Multi-day Tours • Historical & Heritage Tours
2Sisters Nepal Cooking School,5.0,26,Cooking Classes
Gorkha Adventure,5.0,45,City Tours • Cultural Tours
Higher Limits Trek & Expedition,5.0,69,City Tours • Helicopter Tours
Hardcore Nepal Extreme Adventures - Day Tours,5.0,62,River Rafting & Tubing • Canyoning & Rappelling Tours
Lonely Nepal Travels,5.0,27,Sightseeing Tours
Himalayas On Foot Transport Service,5.0,46,Taxis & Shuttles
Motherland Hiking Team - Private Day Tours,5.0,43,Hiking & Camping Tours
Himalaya Sky Travel and Adventure pvtltd,5.0,27,City Tours • Cultural Tours
Zed Travels,5.0,39,Zipline & Aerial Adventure Parks • Walking Tours
Nepal Adventure Pilgrimage Treks and Expedition Pvt Ltd,5.0,41,Parasailing & Paragliding • Adrenaline & Extreme Tours
Creative Holidays Nepal,5.0,33,River Rafting & Tubing • Cultural Tours
Fly Nirvana Paragliding,5.0,27,Parasailing & Paragliding
Himalaya Message Adventure Private Ltd,5.0,32,Adrenaline & Extreme Tours
Nepal Environmental Treks & Expedition,4.5,53,Hiking & Camping Tours
Female Tour Guide Nepal  - Private Tour,5.0,24,Multi-day Tours • Hiking & Camping Tours
Nepal Highpoint Trekking,4.5,69,Cultural Tours • Hiking & Camping Tours
Holyland Adventure Tours and Travels,5.0,30,City Tours • Adrenaline & Extreme Tours
Magic Expedition Trekking and Tours,5.0,93,Cultural Tours • Historical & Heritage Tours
Mountain Hike Nepal,5.0,27,Multi-day Tours • Hiking & Camping Tours
Gokyo Ri Trek,5.0,33,City Tours • Helicopter Tours
Adventure Challenge Centre,5.0,54,Sightseeing Tours
Asia Exploration Treks,5.0,31,Multi-day Tours • River Rafting & Tubing
Aasra Eco Treks - Private Day Tours,5.0,37,City Tours • Helicopter Tours
Scenic Adventure Day Tours,5.0,40,Sightseeing Tours
The Last Resort,4.5,89,Other Outdoor Activities
Himalayan Pleasure Trekking - Day Tours,5.0,34,Hiking & Camping Tours
Top1Trekking,5.0,28,Multi-day Tours • Climbing Tours
Mountain Tiger Nepal,5.0,46,Nature & Wildlife Tours
Independent Trekking Guide in Pokhara,5.0,27,Multi-day Tours • Safaris
Himalayan Trekking Alliance,5.0,39,Multi-day Tours • Hiking & Camping Tours
Mountain Vehicle Nepal,5.0,28,Taxis & Shuttles
Himalayan Dreamland Trekking,5.0,28,Eco Tours • Hiking & Camping Tours
Lumle Holidays - Private Day Tours,5.0,32,Private Tours
Himalaya Destiny Treks & Tours,5.0,40,Multi-day Tours • Cultural Tours
Above and Beyond Trekking - Day Adventures,5.0,44,Hiking & Camping Tours
"Nature Trail Travels & Tours, Trekking & Expeditions: Day Tours",5.0,72,Nature & Wildlife Tours
Adventure Imagine - Private Day Tours,5.0,51,Hiking & Camping Tours • Private Tours
The Bike Shop Nepal - Day Trips,5.0,38,Bike Tours
Snowyoda Expeditions Pvt Ltd,5.0,30,Multi-day Tours • Hiking & Camping Tours
Nepal Highland Treks Pvt Ltd,5.0,39,Sightseeing Tours • Hiking & Camping Tours
WhiteWater Nepal Pvt Ltd,5.0,34,River Rafting & Tubing • Kayaking & Canoeing
Peak Endeavor Day Tours,5.0,39,Sightseeing Tours
Himalayan Sunrise Trekking and Expeditions,5.0,35,Hiking & Camping Tours
Trekking Venue Nepal,5.0,28,Multi-day Tours • Eco Tours
Nepal Kailash Trekking,5.0,34,Helicopter Tours • Historical & Heritage Tours
Sports Tours and Travel,5.0,102,Safaris • Sightseeing Tours
Kamala Yoga Nepal,5.0,27,Hiking & Camping Tours • Nature & Wildlife Tours
Journey Nepal Adventure,5.0,27,Multi-day Tours • Hiking & Camping Tours
Top of The World Treks & Expeditions,5.0,44,Multi-day Tours • Climbing Tours
Asian Adventure Trips Pvt Ltd,5.0,25,Multi-day Tours • Safaris
Drift Nepal Pvt Ltd,5.0,45,River Rafting & Tubing • Bike Tours
Alfresco Adventure Travel,5.0,39,Other Outdoor Activities
Community Trek,5.0,42,Cultural Tours • Historical & Heritage Tours
Peak Promotion,5.0,35,Cultural Tours • Historical & Heritage Tours
White Himalaya Treks And Expedition,5.0,47,Parasailing & Paragliding • River Rafting & Tubing
GK Majestic Trek,5.0,45,Historical & Heritage Tours • Hiking & Camping Tours
Ways To Explore Nepal,5.0,36,Multi-day Tours • Hiking & Camping Tours
Heaven Nepal Adventure,5.0,28,Hiking & Camping Tours • Nature & Wildlife Tours
Sangrila Trail Walk Trek - One Day tour,5.0,52,Walking Tours
Tranquil View Treks & Expedition,5.0,30,Cultural Tours • Historical & Heritage Tours
Ever Quest - Trekking & Climbing in Himalayan with Jamling Bhote and team,5.0,23,Multi-day Tours • Adrenaline & Extreme Tours
Adrenaline Rush Nepal,4.5,49,River Rafting & Tubing • Canyoning & Rappelling Tours
Trekking For Real Pvt Ltd,5.0,25,Safaris • Climbing Tours
Vehicles Rental Nepal,5.0,25,Taxis & Shuttles
Friendship Nepal Tours and Travels,5.0,65,Cultural Tours • Historical & Heritage Tours
Pristine Mountain Adventure,5.0,64,Hiking & Camping Tours • Nature & Wildlife Tours
Ashiyana Vehicle Service,5.0,22,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Psycho Block Climbing Nepal,5.0,28,Game & Entertainment Centers
Himalayan Top Trekking Nepal,5.0,28,City Tours • Multi-day Tours
Mandara Spa & Wellness Center,5.0,52,Spas
Alliance Treks and Expedition PvtLtd,5.0,51,City Tours • Cultural Tours
All Himalayan Treks - Day Tour,5.0,23,Multi-day Tours • Safaris
Nepal Base Camp Treks,5.0,45,City Tours • Cultural Tours
Sherpashah,5.0,25,Cultural Tours • Historical & Heritage Tours
Pranamaya Yoga Studio Thamel,4.5,63,Yoga & Pilates
Sarangkot Paragliding,5.0,47,Parasailing & Paragliding
D & D Treks International - Day Tours,5.0,47,Hiking & Camping Tours
Transport Hire Nepal,5.0,61,Taxis & Shuttles
Adventure Aves,5.0,26,Kayaking & Canoeing
Nepal Paradise Trek,5.0,45,City Tours • Cultural Tours
Kinjjala Spa,5.0,29,Spas
CoreTreks,5.0,29,Cultural Tours • Historical & Heritage Tours
World Trail Finder Adventure,4.5,118,Historical & Heritage Tours • Eco Tours
High Camp Trekking,5.0,27,City Tours • Multi-day Tours
Noble Treks,5.0,28,City Tours • Cultural Tours
Kathmandu Spa,4.5,113,Spas
Rai Treks and Expeditions,5.0,25,Cultural Tours • Walking Tours
Adventure Gorkhaland Treks & Expedition Pvt Ltd,5.0,31,City Tours • Multi-day Tours
Malung Treks and Expedition,5.0,27,Helicopter Tours • Historical & Heritage Tours
Go For Nepal Treks and Expedition,5.0,57,Hiking & Camping Tours
The Helping Hands Spa,4.5,85,Spas
Destination Nepal Tours and Travels - Private Day Tours,4.5,55,Historical & Heritage Tours • Private Tours
Alpine Exodus Pvt Ltd,5.0,30,Cultural Tours • Historical & Heritage Tours
Well Plan Trekking,5.0,27,Multi-day Tours • Sightseeing Tours
Mountain Air Guided Adventures - Day Tours,5.0,56,Private Tours
Annapurna Encounter,5.0,26,City Tours • Multi-day Tours
Yarsa Treks,5.0,22,Hiking & Camping Tours
Happy Himalayan Treks Pvt Ltd,5.0,30,Cultural Tours • Walking Tours
Pokhara Vehicle Rental,5.0,21,Taxis & Shuttles
Sambodhi Yoga Studio,5.0,50,Yoga & Pilates
Mountain Eye Treks and Expedition,5.0,27,Walking Tours • Eco Tours
Fly Nepal Paragliding,4.5,51,Parasailing & Paragliding
Elite Trekkers,5.0,27,Adrenaline & Extreme Tours • Climbing Tours
Mountain Sherpa Trekking & Expeditions,5.0,63,Historical & Heritage Tours • Climbing Tours
Kailash Himalaya Trek,5.0,27,Multi-day Tours • Hiking & Camping Tours
Mountain Layers Treks and Expedition Pvt Ltd,5.0,23,Multi-day Tours • Hiking & Camping Tours
Highlander Trekking and Expeditions - Private Day Tours,5.0,33,Historical & Heritage Tours • Hiking & Camping Tours
Adventure Himalayan Travels & Treks,5.0,24,Cultural Tours • Historical & Heritage Tours
A One Nepal Trek Pvt Ltd,5.0,25,Helicopter Tours
Pokhara Ultralight,4.5,75,Air Tours
Eco Tourism Adventure,5.0,23,City Tours • Climbing Tours
Pilgrims Book House,4.5,45,Speciality & Gift Shops
Himalayan Smile Treks & Adventures - Chandragiri Day Hiking,5.0,56,Hiking & Camping Tours
Ascent Holidays,5.0,24,Multi-day Tours • Climbing Tours
Fishtail Ultra Flights,5.0,31,Air Tours
Devo Adventure - Day Tours,5.0,33,River Rafting & Tubing • Cultural Tours
Alpine Asian Treks and Expeditions - Private Day Tours,5.0,79,Hiking & Camping Tours • Private Tours
Explore Nepal Holidays,5.0,20,"Multi-day Tours • 4WD, ATV & Off-Road Tours"
Exguides Treks & Expeditions  - Day Tour,5.0,32,"4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours"
Soul Himalaya Treks and Tours,5.0,28,Cultural Tours • Hiking & Camping Tours
Massif Holidays,5.0,29,Cultural Tours • Helicopter Tours
Signature Tours Pvt  Ltd,5.0,20,Adrenaline & Extreme Tours • Hiking & Camping Tours
Down To Earth Adventure,5.0,28,Multi-day Tours • Climbing Tours
Padam Raj Adhikari,5.0,64,Multi-day Tours • Hiking & Camping Tours
By Mountain People,5.0,25,Multi-day Tours • Climbing Tours
Adventure Tour Nepal,5.0,50,City Tours • Bike Tours
Wild Nepal Trekking,5.0,22,Multi-day Tours • Walking Tours
Saras Adventure Travel & Tours,5.0,25,Hiking & Camping Tours • Nature & Wildlife Tours
Mandala Nepal Treks,5.0,41,Hiking & Camping Tours • Private Tours
Rainbow Safari Tours & Travels P Ltd,4.5,44,Sightseeing Tours • Bus Tours
Nepal-Tibet Trekking - Private Day Tours,5.0,52,Hiking & Camping Tours • Private Tours
Himalayan 360 Pvt Ltd,5.0,29,City Tours • Hiking & Camping Tours
Nepal One Adventure Pvt ltd,5.0,20,Multi-day Tours • Walking Tours
Ananda Spa,4.5,37,Spas
Hoshizora Treks & Tour,5.0,19,Multi-day Tours • Adrenaline & Extreme Tours
New Para World,4.5,37,Parasailing & Paragliding • Adrenaline & Extreme Tours
Global Nepal Treks,5.0,23,Day Trips
Pigeon Travels-Nepal,4.5,37,City Tours • Multi-day Tours
Adventure Land Nepal,5.0,75,Hiking & Camping Tours
Ecstatic Himalaya,5.0,24,River Rafting & Tubing • Cultural Tours
Walkers Expedition,5.0,43,Helicopter Tours • Historical & Heritage Tours
Institute of Natural Medicine,5.0,31,Yoga & Pilates • Spas
Friendly Pashmina Export,5.0,32,Speciality & Gift Shops
Female Destination Trek & Expedition Trek & Expedition PvtLtd,5.0,20,Parasailing & Paragliding • River Rafting & Tubing
Royal Holidays Treks & Expeditions,5.0,21,Adrenaline & Extreme Tours • Climbing Tours
Nepal Pyramids Trekking & Climbing,5.0,24,City Tours • Cultural Tours
Take Me Trekking,5.0,36,Hiking & Camping Tours
Himalaya Arirang Trek Private Limited - Kathmandu Sightseeing,5.0,31,Hiking & Camping Tours • Private Tours
Holy Sherpa Visioin Treks & Travel,5.0,27,Multi-day Tours • River Rafting & Tubing
Sawasdee Nepal Treks and Tours,5.0,26,City Tours • Cultural Tours
Evolution Yoga,5.0,20,Yoga & Pilates • Spas
Rekha`s Cooking Class,5.0,21,Cooking Classes
Nepal Ecology Treks,4.5,37,Hiking & Camping Tours
Mountrance Nepal Adventure,5.0,23,Multi-day Tours • Hiking & Camping Tours
Jungle Explore Tours,5.0,29,Safaris • Nature & Wildlife Tours
Big Sky Treks & Expeditions,5.0,27,City Tours • Multi-day Tours
Heaven Himalaya,5.0,17,Parasailing & Paragliding • Multi-day Tours
Jungle safari tours,5.0,20,Multi-day Tours • Canyoning & Rappelling Tours
Tranquility Spa - Pokhara,4.5,120,Health Clubs • Spas
Mountain Ascend Treks,5.0,71,Multi-day Tours • Hiking & Camping Tours
Exotic Mt Treks Pvt Ltd,5.0,33,Climbing Tours • Sightseeing Tours
Nepal Altitude Treks & Expedition Private Limited,5.0,24,Multi-day Tours • Hiking & Camping Tours
Baniya Travel,5.0,19,Multi-day Tours • Canyoning & Rappelling Tours
Mystic Himalaya Trekking & Expedition,5.0,22,Multi-day Tours • Cultural Tours
Sole Encounters Nepal,5.0,17,Parasailing & Paragliding • Multi-day Tours
Kinoko Treks and Expeditions,5.0,35,Multi-day Tours • Hiking & Camping Tours
Mother Land Nepal Trekking & Expedition,5.0,46,Multi-day Tours • Hiking & Camping Tours
Himalaya Land Treks & Expedition,5.0,19,Multi-day Tours • Helicopter Tours
Himalaya Travel Adventures,5.0,19,Multi-day Tours • Climbing Tours
Raya Tours and Travels - Private Day Tours,5.0,26,Private Tours
Alpine Glacier Treks,5.0,22,Safaris • Climbing Tours
Pokhara Paragliding,4.5,71,Parasailing & Paragliding
Waiba Adventure Trek,5.0,20,Hiking & Camping Tours
Samsara Trekking,5.0,19,City Tours • Multi-day Tours
Pathfinder Treks & Expedition,5.0,20,Hiking & Camping Tours • Day Trips
The Himalayan Odyssey,5.0,20,Multi-day Tours • Hiking & Camping Tours
Supreme Treks,5.0,19,Multi-day Tours • Bike Tours
Easy Trip Nepal,5.0,38,City Tours • Cultural Tours
Himalaya View Treks,5.0,34,Nature & Wildlife Tours
Sherpa Guide Nepal,5.0,21,Multi-day Tours • Cultural Tours
Euro-Asia Tours and Travels - Day Tours,5.0,25,Sightseeing Tours
Sherpa Holidays,5.0,66,River Rafting & Tubing • Hiking & Camping Tours
BMS Adventures,5.0,21,Multi-day Tours • Hiking & Camping Tours
